Designator,VPN,Ref-X(mm),Ref-Y(mm),Rotation,Mount,Layer,Fitted,Footprint

"A1","","2.05","6.55","270","","Top","Fitted","ANT3216LL00R2400A"
"C1","","46.7","12.25","270","","Top","Fitted","0805"
"C2","","43.45","12.25","270","","Top","Fitted","0603 - CAP"
"C3","","44.95","12.25","270","","Top","Fitted","0603 - CAP"
"C4","","38.15","12.25","90","","Top","Fitted","0603 - CAP"
"C5","","36.65","12.25","90","","Top","Fitted","0603 - CAP"
"C6","","34.9","12.2","90","","Top","Fitted","0805"
"C9","","22.15","6.75","180","","Top","Fitted","0603 - CAP"
"C10","","22.15","8.25","180","","Top","Fitted","0603 - CAP"
"C11","","16.3","1.8","90","","Top","Fitted","0603 - CAP"
"C12","","22.15","5.25","180","","Top","Fitted","0603 - CAP"
"C13","","11","5.5","90","","Top","Fitted","0603 - CAP"
"C14","","9.5","5.5","90","","Top","Fitted","0603 - CAP"
"C15","","8","5.5","90","","Top","Fitted","0603 - CAP"
"C16","","12.85","12.4","270","","Top","Fitted","0603 - CAP"
"C17","","11.35","12.4","270","","Top","Fitted","0603 - CAP"
"C18","","15.7","14.1","0","","Top","Fitted","0603 - CAP"
"C19","","17.8","12.3","270","","Top","Fitted","0603 - CAP"
"C20","","21","16.15","0","","Top","Fitted","0603 - CAP"
"C21","","27.25","16.25","90","","Top","Fitted","0603 - CAP"
"C22","","13.1","16.6","90","","Top","Fitted","0603 - CAP"
"C23","","14.8","1.8","90","","Top","Fitted","0603 - CAP"
"C24","","11.6","16.6","90","","Top","Fitted","0603 - CAP"
"C25","","28.8","16.25","90","","Top","Fitted","0603 - CAP"
"P1","","44.3","2.6","0","","Top","Fitted","GCT_USB4105-GF-A"
"R1","","38.1","7.1","90","","Top","Fitted","0603"
"R2","","38.1","3.3","270","","Top","Fitted","0603"
"R3","","29.35","13.25","180","","Top","Fitted","0603"
"R4","","29.35","11.75","180","","Top","Fitted","0603"
"R5","","22.2","2.2","180","","Top","Fitted","0603"
"R6","","22.2","3.7","0","","Top","Fitted","0603"
"R7","","13.25","1.75","90","","Top","Fitted","0603"
"R8","","11.75","1.75","90","","Top","Fitted","0603"
"R9","","31.8","16.25","270","","Top","Fitted","0603"
"R10","","30.3","16.25","270","","Top","Fitted","0603"
"R11","","10","8.41","0","","Top","Fitted","0603"
"R12","","21","17.65","0","","Top","Fitted","0603"
"SW1","","26.3","3.05","270","","Top","Fitted","Switch-XDTD-0304-215"
"SW2","","26.3","8.5","90","","Top","Fitted","Switch-XDTD-0304-215"
"U1","","40.8","12.25","90","","Top","Fitted","SOT-23-5"
"U2","","16.8","6.3","0","","Top","Fitted","QFN50P500X500X100_HS-33N"
"U3","","16.51","17.01","0","","Bottom","Fitted","SS490A"
"U4","","24.5","16.25","270","","Top","Fitted","SOT95P270X145-5N"
"X1","","15.7","11.6","270","","Top","Fitted","XTAL-4LEAD-2016"
